day,hour,weather,num_fatalities
Monday,8:00am-8:59am,Snow,19
Monday,8:00am-8:59am,"Fog, Smog, Smoke",19
Monday,8:00am-8:59am,Severe Crosswinds,1
Monday,8:00am-8:59am,Other,0
Monday,8:00am-8:59am,Cloudy,172
Monday,8:00am-8:59am,Blowing Snow,0
Monday,8:00am-8:59am,Freezing Rain or Drizzle,0
Monday,9:00am-9:59am,Clear,694
Monday,9:00am-9:59am,Rain,65
Monday,9:00am-9:59am,Sleet or Hail,2
Monday,9:00am-9:59am,Snow,14
Monday,9:00am-9:59am,"Fog, Smog, Smoke",5
Monday,9:00am-9:59am,Severe Crosswinds,1
Monday,9:00am-9:59am,Other,0
Monday,9:00am-9:59am,Cloudy,151
Monday,9:00am-9:59am,Blowing Snow,1
Monday,9:00am-9:59am,Freezing Rain or Drizzle,0
Monday,10:00am-10:59am,Clear,721
Monday,10:00am-10:59am,Rain,54
Monday,10:00am-10:59am,Sleet or Hail,2
Monday,10:00am-10:59am,Snow,13
Monday,10:00am-10:59am,"Fog, Smog, Smoke",0
Monday,10:00am-10:59am,Severe Crosswinds,4
Monday,10:00am-10:59am,Other,4
Monday,10:00am-10:59am,Cloudy,169
Monday,10:00am-10:59am,Blowing Snow,2
Monday,10:00am-10:59am,Freezing Rain or Drizzle,0
Monday,11:00am-11:59am,Clear,897
Monday,11:00am-11:59am,Rain,59
Monday,11:00am-11:59am,Sleet or Hail,2
Monday,11:00am-11:59am,Snow,19
Monday,11:00am-11:59am,"Fog, Smog, Smoke",4
Monday,11:00am-11:59am,Severe Crosswinds,0
Monday,11:00am-11:59am,Other,3
Monday,11:00am-11:59am,Cloudy,171
Monday,11:00am-11:59am,Blowing Snow,1
Monday,11:00am-11:59am,Freezing Rain or Drizzle,2
Monday,12:00pm-12:59pm,Clear,932
Monday,12:00pm-12:59pm,Rain,81
Monday,12:00pm-12:59pm,Sleet or Hail,4
Monday,12:00pm-12:59pm,Snow,21
Monday,12:00pm-12:59pm,"Fog, Smog, Smoke",2
Monday,12:00pm-12:59pm,Severe Crosswinds,2
Monday,12:00pm-12:59pm,Other,1
Monday,12:00pm-12:59pm,Cloudy,202
Monday,12:00pm-12:59pm,Blowing Snow,0
Monday,12:00pm-12:59pm,Freezing Rain or Drizzle,0
Monday,1:00pm-1:59pm,Clear,1100
Monday,1:00pm-1:59pm,Rain,75
Monday,1:00pm-1:59pm,Sleet or Hail,5
Monday,1:00pm-1:59pm,Snow,13
Monday,1:00pm-1:59pm,"Fog, Smog, Smoke",0
Monday,1:00pm-1:59pm,Severe Crosswinds,2
Monday,1:00pm-1:59pm,Other,0
Monday,1:00pm-1:59pm,Cloudy,226
Monday,1:00pm-1:59pm,Blowing Snow,1
Monday,1:00pm-1:59pm,Freezing Rain or Drizzle,1
Monday,2:00pm-2:59pm,Clear,1114
Monday,2:00pm-2:59pm,Rain,75
Monday,2:00pm-2:59pm,Sleet or Hail,4
Monday,2:00pm-2:59pm,Snow,19
Monday,2:00pm-2:59pm,"Fog, Smog, Smoke",5
Monday,2:00pm-2:59pm,Severe Crosswinds,5
Monday,2:00pm-2:59pm,Other,1
Monday,2:00pm-2:59pm,Cloudy,264
Monday,2:00pm-2:59pm,Blowing Snow,0
Monday,2:00pm-2:59pm,Freezing Rain or Drizzle,0
Monday,3:00pm-3:59pm,Clear,1253
Monday,3:00pm-3:59pm,Rain,105
Monday,3:00pm-3:59pm,Sleet or Hail,5
Monday,3:00pm-3:59pm,Snow,10
Monday,3:00pm-3:59pm,"Fog, Smog, Smoke",2
Monday,3:00pm-3:59pm,Severe Crosswinds,7
Monday,3:00pm-3:59pm,Other,3
Monday,3:00pm-3:59pm,Cloudy,253
Monday,3:00pm-3:59pm,Blowing Snow,0
Monday,3:00pm-3:59pm,Freezing Rain or Drizzle,0
Monday,4:00pm-4:59pm,Clear,1370
Monday,4:00pm-4:59pm,Rain,95
Monday,4:00pm-4:59pm,Sleet or Hail,1
Monday,4:00pm-4:59pm,Snow,18
Monday,4:00pm-4:59pm,"Fog, Smog, Smoke",2
Monday,4:00pm-4:59pm,Severe Crosswinds,4
Monday,4:00pm-4:59pm,Other,3
Monday,4:00pm-4:59pm,Cloudy,235
Monday,4:00pm-4:59pm,Blowing Snow,0
Monday,4:00pm-4:59pm,Freezing Rain or Drizzle,0
Monday,5:00pm-5:59pm,Clear,1341
Monday,5:00pm-5:59pm,Rain,131
Monday,5:00pm-5:59pm,Sleet or Hail,8
Monday,5:00pm-5:59pm,Snow,15
Monday,5:00pm-5:59pm,"Fog, Smog, Smoke",1
Monday,5:00pm-5:59pm,Severe Crosswinds,3
Monday,5:00pm-5:59pm,Other,0
Monday,5:00pm-5:59pm,Cloudy,295
Monday,5:00pm-5:59pm,Blowing Snow,0
Monday,5:00pm-5:59pm,Freezing Rain or Drizzle,2
Monday,6:00pm-6:59pm,Clear,1429
Monday,6:00pm-6:59pm,Rain,139
Monday,6:00pm-6:59pm,Sleet or Hail,5
Monday,6:00pm-6:59pm,Snow,21
Monday,6:00pm-6:59pm,"Fog, Smog, Smoke",2
Monday,6:00pm-6:59pm,Severe Crosswinds,1
Monday,6:00pm-6:59pm,Other,3
Monday,6:00pm-6:59pm,Cloudy,276
Monday,6:00pm-6:59pm,Blowing Snow,1
Monday,6:00pm-6:59pm,Freezing Rain or Drizzle,1
Monday,7:00pm-7:59pm,Clear,1379
Monday,7:00pm-7:59pm,Rain,121
Monday,7:00pm-7:59pm,Sleet or Hail,2
Monday,7:00pm-7:59pm,Snow,12
Monday,7:00pm-7:59pm,"Fog, Smog, Smoke",4
Monday,7:00pm-7:59pm,Severe Crosswinds,1
Monday,7:00pm-7:59pm,Other,4
Monday,7:00pm-7:59pm,Cloudy,265
Monday,7:00pm-7:59pm,Blowing Snow,1
Monday,7:00pm-7:59pm,Freezing Rain or Drizzle,0
Monday,8:00pm-8:59pm,Clear,1375
Monday,8:00pm-8:59pm,Rain,120
Monday,8:00pm-8:59pm,Sleet or Hail,2
Monday,8:00pm-8:59pm,Snow,15
Monday,8:00pm-8:59pm,"Fog, Smog, Smoke",22
Monday,8:00pm-8:59pm,Severe Crosswinds,0
Monday,8:00pm-8:59pm,Other,3
Monday,8:00pm-8:59pm,Cloudy,258
Monday,8:00pm-8:59pm,Blowing Snow,0
Monday,8:00pm-8:59pm,Freezing Rain or Drizzle,1
Monday,9:00pm-9:59pm,Clear,1345
Monday,9:00pm-9:59pm,Rain,121
Monday,9:00pm-9:59pm,Sleet or Hail,1
Monday,9:00pm-9:59pm,Snow,7
Monday,9:00pm-9:59pm,"Fog, Smog, Smoke",10
Monday,9:00pm-9:59pm,Severe Crosswinds,0
Monday,9:00pm-9:59pm,Other,3
Monday,9:00pm-9:59pm,Cloudy,223
Monday,9:00pm-9:59pm,Blowing Snow,1
Monday,9:00pm-9:59pm,Freezing Rain or Drizzle,1
Monday,10:00pm-10:59pm,Clear,1175
Monday,10:00pm-10:59pm,Rain,112
Monday,10:00pm-10:59pm,Sleet or Hail,1
Monday,10:00pm-10:59pm,Snow,14
Monday,10:00pm-10:59pm,"Fog, Smog, Smoke",16
Monday,10:00pm-10:59pm,Severe Crosswinds,0
Monday,10:00pm-10:59pm,Other,2
Monday,10:00pm-10:59pm,Cloudy,243
Monday,10:00pm-10:59pm,Blowing Snow,0
Monday,10:00pm-10:59pm,Freezing Rain or Drizzle,1
Monday,11:00pm-11:59pm,Clear,1099
Monday,11:00pm-11:59pm,Rain,86
Monday,11:00pm-11:59pm,Sleet or Hail,3
Monday,11:00pm-11:59pm,Snow,7
Monday,11:00pm-11:59pm,"Fog, Smog, Smoke",12
Monday,11:00pm-11:59pm,Severe Crosswinds,1
Monday,11:00pm-11:59pm,Other,4
Monday,11:00pm-11:59pm,Cloudy,202
Monday,11:00pm-11:59pm,Blowing Snow,0
Monday,11:00pm-11:59pm,Freezing Rain or Drizzle,1
Tuesday,0:00am-0:59am,Clear,74
Tuesday,0:00am-0:59am,Rain,11
Tuesday,0:00am-0:59am,Sleet or Hail,0
Tuesday,0:00am-0:59am,Snow,2
Tuesday,0:00am-0:59am,"Fog, Smog, Smoke",1
Tuesday,0:00am-0:59am,Severe Crosswinds,0
Tuesday,0:00am-0:59am,Other,1
Tuesday,0:00am-0:59am,Cloudy,12
Tuesday,0:00am-0:59am,Blowing Snow,0
Tuesday,0:00am-0:59am,Freezing Rain or Drizzle,0
Tuesday,1:00am-1:59am,Clear,78
Tuesday,1:00am-1:59am,Rain,8
Tuesday,1:00am-1:59am,Sleet or Hail,0
Tuesday,1:00am-1:59am,Snow,0
Tuesday,1:00am-1:59am,"Fog, Smog, Smoke",2
Tuesday,1:00am-1:59am,Severe Crosswinds,0
Tuesday,1:00am-1:59am,Other,0
Tuesday,1:00am-1:59am,Cloudy,9
Tuesday,1:00am-1:59am,Blowing Snow,0
Tuesday,1:00am-1:59am,Freezing Rain or Drizzle,0
Tuesday,2:00am-2:59am,Clear,67
Tuesday,2:00am-2:59am,Rain,8
Tuesday,2:00am-2:59am,Sleet or Hail,0
Tuesday,2:00am-2:59am,Snow,2
Tuesday,2:00am-2:59am,"Fog, Smog, Smoke",2
Tuesday,2:00am-2:59am,Severe Crosswinds,0
Tuesday,2:00am-2:59am,Other,0
Tuesday,2:00am-2:59am,Cloudy,10
Tuesday,2:00am-2:59am,Blowing Snow,0
Tuesday,2:00am-2:59am,Freezing Rain or Drizzle,0
Tuesday,3:00am-3:59am,Clear,64
Tuesday,3:00am-3:59am,Rain,3
Tuesday,3:00am-3:59am,Sleet or Hail,0
Tuesday,3:00am-3:59am,Snow,0
Tuesday,3:00am-3:59am,"Fog, Smog, Smoke",4
Tuesday,3:00am-3:59am,Severe Crosswinds,0
Tuesday,3:00am-3:59am,Other,0
Tuesday,3:00am-3:59am,Cloudy,13
Tuesday,3:00am-3:59am,Blowing Snow,0
Tuesday,3:00am-3:59am,Freezing Rain or Drizzle,0
Tuesday,4:00am-4:59am,Clear,53
Tuesday,4:00am-4:59am,Rain,6
Tuesday,4:00am-4:59am,Sleet or Hail,0
Tuesday,4:00am-4:59am,Snow,2
Tuesday,4:00am-4:59am,"Fog, Smog, Smoke",0
Tuesday,4:00am-4:59am,Severe Crosswinds,0
Tuesday,4:00am-4:59am,Other,0
Tuesday,4:00am-4:59am,Cloudy,14
Tuesday,4:00am-4:59am,Blowing Snow,0
Tuesday,4:00am-4:59am,Freezing Rain or Drizzle,0
Tuesday,5:00am-5:59am,Clear,95
Tuesday,5:00am-5:59am,Rain,8
Tuesday,5:00am-5:59am,Sleet or Hail,0
Tuesday,5:00am-5:59am,Snow,0
Tuesday,5:00am-5:59am,"Fog, Smog, Smoke",8
Tuesday,5:00am-5:59am,Severe Crosswinds,1
Tuesday,5:00am-5:59am,Other,0
Tuesday,5:00am-5:59am,Cloudy,24
Tuesday,5:00am-5:59am,Blowing Snow,0
Tuesday,5:00am-5:59am,Freezing Rain or Drizzle,0
Tuesday,6:00am-6:59am,Clear,135
Tuesday,6:00am-6:59am,Rain,14
Tuesday,6:00am-6:59am,Sleet or Hail,0
Tuesday,6:00am-6:59am,Snow,1
Tuesday,6:00am-6:59am,"Fog, Smog, Smoke",18
Tuesday,6:00am-6:59am,Severe Crosswinds,0
Tuesday,6:00am-6:59am,Other,0
Tuesday,6:00am-6:59am,Cloudy,36
Tuesday,6:00am-6:59am,Blowing Snow,0
Tuesday,6:00am-6:59am,Freezing Rain or Drizzle,0
Tuesday,7:00am-7:59am,Clear,113
Tuesday,7:00am-7:59am,Rain,10
Tuesday,7:00am-7:59am,Sleet or Hail,0
